pmid	grant_id	grant_acronym	country	agency
10215927			United Kingdom	Wellcome Trust
10376745	NS07309	NS	United States	NINDS NIH HHS
10407422	E.0733	TI_	Italy	Telethon
10449358	R01 CA047207	CA	United States	NCI NIH HHS
10515301	AA09346	AA	United States	NIAAA NIH HHS
10530691	P50 NS16308	NS	United States	NINDS NIH HHS
10869059	NS-26064	NS	United States	NINDS NIH HHS
11163462	1RO1 AI-44167	AI	United States	NIAID NIH HHS
11697867	MH-40733	MH	United States	NIMH NIH HHS
11861211	R01 AI042790	AI	United States	NIAID NIH HHS
11882383	1998:44:00	BCN_	United Kingdom	Breast Cancer Now
11944026	AI-42059	AI	United States	NIAID NIH HHS
12382278	K02 DC00136	DC	United States	NIDCD NIH HHS
12414160	AI48490	AI	United States	NIAID NIH HHS
12614461	AI 44322	AI	United States	NIAID NIH HHS
12687682	DE07309	DE	United States	NIDCR NIH HHS
12829268	5P42 4940-13		United States	PHS HHS
1457683	DE06027	DE	United States	NIDCR NIH HHS
1506849	HD 22713	HD	United States	NICHD NIH HHS
15105382	NS20561	NS	United States	NINDS NIH HHS
15541453	U54-HD 31398-08	HD	United States	NICHD NIH HHS
15585754	CA74821	CA	United States	NCI NIH HHS
15615640	AG020506	AG	United States	NIA NIH HHS
16172379	R56 AI038424	AI	United States	NIAID NIH HHS
16180037	R01DC03275	DC	United States	NIDCD NIH HHS
16238012	R37 AI021657	AI	United States	NIAID NIH HHS
16421729	DC-00385	DC	United States	NIDCD NIH HHS
16503196	T32 GM008347	GM	United States	NIGMS NIH HHS
16603397	T32 GM007753	GM	United States	NIGMS NIH HHS
16689791	R01 GM056120	GM	United States	NIGMS NIH HHS
16704343	I01 BX000513	BX	United States	BLRD VA
16760307	R01 AI045728	AI	United States	NIAID NIH HHS
16921404	G0200457	MRC_	United Kingdom	Medical Research Council
17312100	P30 CA 21765	CA	United States	NCI NIH HHS
17487199	AG01228	AG	United States	NIA NIH HHS
17531986	5R01AI40694	AI	United States	NIAID NIH HHS
17582565			United Kingdom	Wellcome Trust
17604717	CA122617	CA	United States	NCI NIH HHS
17614950	DA018479	DA	United States	NIDA NIH HHS
17661631	N01-AI-40059	AI	United States	NIAID NIH HHS
17703225	R01 AI069383	AI	United States	NIAID NIH HHS
18032765	HL077577	HL	United States	NHLBI NIH HHS
18231123	R01 HD38534	HD	United States	NICHD NIH HHS
18270515	NS-035180	NS	United States	NINDS NIH HHS
18362103	Z01 MH002386	ImNIH	United States	Intramural NIH HHS
18452798	Z99 AI999999	ImNIH	United States	Intramural NIH HHS
18532987	R01 NS039402-08	NS	United States	NINDS NIH HHS
18708154	R01 CA022556	CA	United States	NCI NIH HHS
18729058	T32 GM007544	GM	United States	NIGMS NIH HHS
18754792	P01 HL073907-04	HL	United States	NHLBI NIH HHS
19002158	R01 DK064113	DK	United States	NIDDK NIH HHS
19010441	55005501		United States	Howard Hughes Medical Institute
19011659		HHMI	United States	Howard Hughes Medical Institute
19098895		HHMI	United States	Howard Hughes Medical Institute
19160594	EY08266	EY	United States	NEI NIH HHS
19357408	R01 HL056267	HL	United States	NHLBI NIH HHS
19396954	R15 AI072720	AI	United States	NIAID NIH HHS
