pmid,query,search_type,page
35322991,Muckle-Wells Syndrome,pubdate_desc,2
34499401,Muckle-Wells Syndrome,pubdate_desc,2
32279586,Muckle-Wells Syndrome,pubdate_desc,2
34979568,Muckle-Wells Syndrome,pubdate_desc,2
34904355,Muckle-Wells Syndrome,pubdate_desc,2
34947964,Muckle-Wells Syndrome,pubdate_desc,2
34863351,Muckle-Wells Syndrome,pubdate_desc,2
34878558,Muckle-Wells Syndrome,pubdate_desc,2
32496361,Muckle-Wells Syndrome,pubdate_desc,2
30530071,Neuromyelitis Optica Spectrum Disorder,relevance,1
33186537,Neuromyelitis Optica Spectrum Disorder,relevance,1
33223088,Neuromyelitis Optica Spectrum Disorder,relevance,1
30872305,Neuromyelitis Optica Spectrum Disorder,relevance,1
33009077,Neuromyelitis Optica Spectrum Disorder,relevance,1
32820020,Neuromyelitis Optica Spectrum Disorder,relevance,1
32990284,Neuromyelitis Optica Spectrum Disorder,relevance,1
33011853,Neuromyelitis Optica Spectrum Disorder,relevance,1
33802046,Neuromyelitis Optica Spectrum Disorder,relevance,1
34006678,Neuromyelitis Optica Spectrum Disorder,relevance,1
34986968,Neuromyelitis Optica Spectrum Disorder,relevance,2
33431266,Neuromyelitis Optica Spectrum Disorder,relevance,2
28385199,Neuromyelitis Optica Spectrum Disorder,relevance,2
29383411,Neuromyelitis Optica Spectrum Disorder,relevance,2
31603846,Neuromyelitis Optica Spectrum Disorder,relevance,2
34080180,Neuromyelitis Optica Spectrum Disorder,relevance,2
34711906,Neuromyelitis Optica Spectrum Disorder,relevance,2
34657404,Neuromyelitis Optica Spectrum Disorder,relevance,2
31187587,Neuromyelitis Optica Spectrum Disorder,relevance,2
29066232,Neuromyelitis Optica Spectrum Disorder,relevance,2
35601378,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35316545,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35483239,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35600183,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35427281,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35411701,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35288788,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35255304,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35132462,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
35064812,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,1
34935179,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
34931885,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
34820735,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
34226958,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
34224531,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
34718426,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
35606107,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
35598288,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
35606200,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
35596582,Neuromyelitis Optica Spectrum Disorder,pubdate_desc,2
13398879,Pachygyria,relevance,1
30677308,Pachygyria,relevance,1
28440899,Pachygyria,relevance,1
34928108,Pachygyria,relevance,1
21948916,Pachygyria,relevance,1
30744660,Pachygyria,relevance,1
32557621,Pachygyria,relevance,1
23022981,Pachygyria,relevance,1
34163010,Pachygyria,relevance,1
29671837,Pachygyria,relevance,1
26743950,Pachygyria,relevance,2
23603762,Pachygyria,relevance,2
24291892,Pachygyria,relevance,2
28111201,Pachygyria,relevance,2
34731701,Pachygyria,relevance,2
30471716,Pachygyria,relevance,2
30914828,Pachygyria,relevance,2
22157055,Pachygyria,relevance,2
27923540,Pachygyria,relevance,2
32744776,Pachygyria,relevance,2
35512496,Pachygyria,pubdate_desc,1
35103859,Pachygyria,pubdate_desc,1
35585091,Pachygyria,pubdate_desc,1
32809601,Pachygyria,pubdate_desc,1
35567955,Pachygyria,pubdate_desc,1
35523508,Pachygyria,pubdate_desc,1
35511030,Pachygyria,pubdate_desc,1
35338537,Pachygyria,pubdate_desc,1
35213059,Pachygyria,pubdate_desc,1
35092861,Pachygyria,pubdate_desc,1
35410907,Pachygyria,pubdate_desc,2
35465088,Pachygyria,pubdate_desc,2
35450016,Pachygyria,pubdate_desc,2
35431747,Pachygyria,pubdate_desc,2
35313204,Pachygyria,pubdate_desc,2
34970864,Pachygyria,pubdate_desc,2
34693484,Pachygyria,pubdate_desc,2
35433561,Pachygyria,pubdate_desc,2
35332709,Pachygyria,pubdate_desc,2
26583190,Pachygyria,pubdate_desc,2
20301457,Pachyonychia Congenita,relevance,1
32107781,Pachyonychia Congenita,relevance,1
3053803,Pachyonychia Congenita,relevance,1
31875943,Pachyonychia Congenita,relevance,1
31648361,Pachyonychia Congenita,relevance,1
31364784,Pachyonychia Congenita,relevance,1
31814103,Pachyonychia Congenita,relevance,1
31823354,Pachyonychia Congenita,relevance,1
31571193,Pachyonychia Congenita,relevance,1
31021398,Pachyonychia Congenita,relevance,1
29077501,Pachyonychia Congenita,relevance,2
34116063,Pachyonychia Congenita,relevance,2
33190296,Pachyonychia Congenita,relevance,2
34468688,Pachyonychia Congenita,relevance,2
10954990,Pachyonychia Congenita,relevance,2
27041546,Pachyonychia Congenita,relevance,2
32236980,Pachyonychia Congenita,relevance,2
16250205,Pachyonychia Congenita,relevance,2
31386169,Pachyonychia Congenita,relevance,2
28607853,Pachyonychia Congenita,relevance,2
35606927,Pachyonychia Congenita,pubdate_desc,1
35429339,Pachyonychia Congenita,pubdate_desc,1
35453591,Pachyonychia Congenita,pubdate_desc,1
35245567,Pachyonychia Congenita,pubdate_desc,1
34116063,Pachyonychia Congenita,pubdate_desc,1
34724947,Pachyonychia Congenita,pubdate_desc,1
34468688,Pachyonychia Congenita,pubdate_desc,1
33908804,Pachyonychia Congenita,pubdate_desc,1
34684016,Pachyonychia Congenita,pubdate_desc,1
34293384,Pachyonychia Congenita,pubdate_desc,1
33876461,Pachyonychia Congenita,pubdate_desc,2
33486795,Pachyonychia Congenita,pubdate_desc,2
32932264,Pachyonychia Congenita,pubdate_desc,2
33190296,Pachyonychia Congenita,pubdate_desc,2
34055907,Pachyonychia Congenita,pubdate_desc,2
33745636,Pachyonychia Congenita,pubdate_desc,2
33527591,Pachyonychia Congenita,pubdate_desc,2
33762842,Pachyonychia Congenita,pubdate_desc,2
33301203,Pachyonychia Congenita,pubdate_desc,2
31836634,Pachyonychia Congenita,pubdate_desc,2
20301638,Pallister-Hall Syndrome,relevance,1
29204208,Pallister-Hall Syndrome,relevance,1
11057130,Pallister-Hall Syndrome,relevance,1
31011455,Pallister-Hall Syndrome,relevance,1
25424727,Pallister-Hall Syndrome,relevance,1
32270976,Pallister-Hall Syndrome,relevance,1
21846383,Pallister-Hall Syndrome,relevance,1
31903782,Pallister-Hall Syndrome,relevance,1
17022615,Pallister-Hall Syndrome,relevance,1
9807095,Pallister-Hall Syndrome,relevance,1
8818945,Pallister-Hall Syndrome,relevance,2
9048017,Pallister-Hall Syndrome,relevance,2
7880273,Pallister-Hall Syndrome,relevance,2
31456264,Pallister-Hall Syndrome,relevance,2
32112393,Pallister-Hall Syndrome,relevance,2
30486853,Pallister-Hall Syndrome,relevance,2
16007608,Pallister-Hall Syndrome,relevance,2
7815447,Pallister-Hall Syndrome,relevance,2
35331151,Pallister-Hall Syndrome,relevance,2
15237717,Pallister-Hall Syndrome,relevance,2
35331151,Pallister-Hall Syndrome,pubdate_desc,1
35034092,Pallister-Hall Syndrome,pubdate_desc,1
35251807,Pallister-Hall Syndrome,pubdate_desc,1
35048169,Pallister-Hall Syndrome,pubdate_desc,1
34482537,Pallister-Hall Syndrome,pubdate_desc,1
34296525,Pallister-Hall Syndrome,pubdate_desc,1
34631784,Pallister-Hall Syndrome,pubdate_desc,1
31903782,Pallister-Hall Syndrome,pubdate_desc,1
32591344,Pallister-Hall Syndrome,pubdate_desc,1
33328171,Pallister-Hall Syndrome,pubdate_desc,1
33150036,Pallister-Hall Syndrome,pubdate_desc,2
32577141,Pallister-Hall Syndrome,pubdate_desc,2
32112393,Pallister-Hall Syndrome,pubdate_desc,2
30923969,Pallister-Hall Syndrome,pubdate_desc,2
31734186,Pallister-Hall Syndrome,pubdate_desc,2
31552492,Pallister-Hall Syndrome,pubdate_desc,2
31792112,Pallister-Hall Syndrome,pubdate_desc,2
31787158,Pallister-Hall Syndrome,pubdate_desc,2
35521502,Pallister-Hall Syndrome,pubdate_desc,2
31456264,Pallister-Hall Syndrome,pubdate_desc,2
25425112,Pallister-Killian Syndrome,relevance,1
29790157,Pallister-Killian Syndrome,relevance,1
24826207,Pallister-Killian Syndrome,relevance,1
11057131,Pallister-Killian Syndrome,relevance,1
34073526,Pallister-Killian Syndrome,relevance,1
29260614,Pallister-Killian Syndrome,relevance,1
30517961,Pallister-Killian Syndrome,relevance,1
34405543,Pallister-Killian Syndrome,relevance,1
30125405,Pallister-Killian Syndrome,relevance,1
23169691,Pallister-Killian Syndrome,relevance,1
25888713,Pallister-Killian Syndrome,relevance,2
30291251,Pallister-Killian Syndrome,relevance,2
30289601,Pallister-Killian Syndrome,relevance,2
29222831,Pallister-Killian Syndrome,relevance,2
34975740,Pallister-Killian Syndrome,relevance,2
31497069,Pallister-Killian Syndrome,relevance,2
30140312,Pallister-Killian Syndrome,relevance,2
33229101,Pallister-Killian Syndrome,relevance,2
32714624,Pallister-Killian Syndrome,relevance,2
28588808,Pallister-Killian Syndrome,relevance,2
35606784,Pallister-Killian Syndrome,pubdate_desc,1
35372156,Pallister-Killian Syndrome,pubdate_desc,1
35464544,Pallister-Killian Syndrome,pubdate_desc,1
35205401,Pallister-Killian Syndrome,pubdate_desc,1
33085412,Pallister-Killian Syndrome,pubdate_desc,1
34975740,Pallister-Killian Syndrome,pubdate_desc,1
34625941,Pallister-Killian Syndrome,pubdate_desc,1
34937633,Pallister-Killian Syndrome,pubdate_desc,1
34405543,Pallister-Killian Syndrome,pubdate_desc,1
34073526,Pallister-Killian Syndrome,pubdate_desc,1
33229101,Pallister-Killian Syndrome,pubdate_desc,2
33179239,Pallister-Killian Syndrome,pubdate_desc,2
33269168,Pallister-Killian Syndrome,pubdate_desc,2
32714624,Pallister-Killian Syndrome,pubdate_desc,2
32619262,Pallister-Killian Syndrome,pubdate_desc,2
32903844,Pallister-Killian Syndrome,pubdate_desc,2
32350887,Pallister-Killian Syndrome,pubdate_desc,2
32482921,Pallister-Killian Syndrome,pubdate_desc,2
31781176,Pallister-Killian Syndrome,pubdate_desc,2
31454185,Pallister-Killian Syndrome,pubdate_desc,2
34213484,Panhypopituitarism,relevance,1
31343982,Panhypopituitarism,relevance,1
34305132,Panhypopituitarism,relevance,1
32789047,Panhypopituitarism,relevance,1
34471611,Panhypopituitarism,relevance,1
34021443,Panhypopituitarism,relevance,1
31893082,Panhypopituitarism,relevance,1
34579522,Panhypopituitarism,relevance,1
31664980,Panhypopituitarism,relevance,1
31439193,Panhypopituitarism,relevance,1
31183350,Panhypopituitarism,relevance,2
13222188,Panhypopituitarism,relevance,2
30765453,Panhypopituitarism,relevance,2
32309255,Panhypopituitarism,relevance,2
28255477,Panhypopituitarism,relevance,2
29112045,Panhypopituitarism,relevance,2
29722193,Panhypopituitarism,relevance,2
14024941,Panhypopituitarism,relevance,2
13996812,Panhypopituitarism,relevance,2
31906678,Panhypopituitarism,relevance,2
35357097,Panhypopituitarism,pubdate_desc,1
35119230,Panhypopituitarism,pubdate_desc,1
35562099,Panhypopituitarism,pubdate_desc,1
29083725,Panhypopituitarism,pubdate_desc,1
35485414,Panhypopituitarism,pubdate_desc,1
35528001,Panhypopituitarism,pubdate_desc,1
35456463,Panhypopituitarism,pubdate_desc,1
35418791,Panhypopituitarism,pubdate_desc,1
35384023,Panhypopituitarism,pubdate_desc,1
35383719,Panhypopituitarism,pubdate_desc,1
35365091,Panhypopituitarism,pubdate_desc,2
35088194,Panhypopituitarism,pubdate_desc,2
34921505,Panhypopituitarism,pubdate_desc,2
35349010,Panhypopituitarism,pubdate_desc,2
35331151,Panhypopituitarism,pubdate_desc,2
35137155,Panhypopituitarism,pubdate_desc,2
35315601,Panhypopituitarism,pubdate_desc,2
35530378,Panhypopituitarism,pubdate_desc,2
35303908,Panhypopituitarism,pubdate_desc,2
35311034,Panhypopituitarism,pubdate_desc,2
32222110,Papillon-Lefevre Syndrome,relevance,1
19031795,Papillon-Lefevre Syndrome,relevance,1
21165749,Papillon-Lefevre Syndrome,relevance,1
30156642,Papillon-Lefevre Syndrome,relevance,1
9673173,Papillon-Lefevre Syndrome,relevance,1
31872409,Papillon-Lefevre Syndrome,relevance,1
33240004,Papillon-Lefevre Syndrome,relevance,1
32855368,Papillon-Lefevre Syndrome,relevance,1
22081200,Papillon-Lefevre Syndrome,relevance,1
26203280,Papillon-Lefevre Syndrome,relevance,1
29789144,Papillon-Lefevre Syndrome,relevance,2
22144846,Papillon-Lefevre Syndrome,relevance,2
25421448,Papillon-Lefevre Syndrome,relevance,2
21886733,Papillon-Lefevre Syndrome,relevance,2
19540439,Papillon-Lefevre Syndrome,relevance,2
30180413,Papillon-Lefevre Syndrome,relevance,2
32463525,Papillon-Lefevre Syndrome,relevance,2
23559660,Papillon-Lefevre Syndrome,relevance,2
26957212,Papillon-Lefevre Syndrome,relevance,2
31244643,Papillon-Lefevre Syndrome,relevance,2
35292437,Papillon-Lefevre Syndrome,pubdate_desc,1
35566565,Papillon-Lefevre Syndrome,pubdate_desc,1
35329073,Papillon-Lefevre Syndrome,pubdate_desc,1
34704316,Papillon-Lefevre Syndrome,pubdate_desc,1
34932608,Papillon-Lefevre Syndrome,pubdate_desc,1
34492551,Papillon-Lefevre Syndrome,pubdate_desc,1
34961738,Papillon-Lefevre Syndrome,pubdate_desc,1
33738798,Papillon-Lefevre Syndrome,pubdate_desc,1
34603725,Papillon-Lefevre Syndrome,pubdate_desc,1
34513733,Papillon-Lefevre Syndrome,pubdate_desc,1
34341640,Papillon-Lefevre Syndrome,pubdate_desc,2
34271191,Papillon-Lefevre Syndrome,pubdate_desc,2
33586345,Papillon-Lefevre Syndrome,pubdate_desc,2
33580910,Papillon-Lefevre Syndrome,pubdate_desc,2
33445524,Papillon-Lefevre Syndrome,pubdate_desc,2
34002717,Papillon-Lefevre Syndrome,pubdate_desc,2
32692176,Papillon-Lefevre Syndrome,pubdate_desc,2
33240004,Papillon-Lefevre Syndrome,pubdate_desc,2
33042508,Papillon-Lefevre Syndrome,pubdate_desc,2
32855368,Papillon-Lefevre Syndrome,pubdate_desc,2
11528847,Paramyotonia Congenita,relevance,1
1947488,Paramyotonia Congenita,relevance,1
25037086,Paramyotonia Congenita,relevance,1
32083589,Paramyotonia Congenita,relevance,1
13544644,Paramyotonia Congenita,relevance,1
30647473,Paramyotonia Congenita,relevance,1
11555891,Paramyotonia Congenita,relevance,1
13688071,Paramyotonia Congenita,relevance,1
33835497,Paramyotonia Congenita,relevance,1
32270509,Paramyotonia Congenita,relevance,1
31794466,Paramyotonia Congenita,relevance,2
8089960,Paramyotonia Congenita,relevance,2
30931713,Paramyotonia Congenita,relevance,2
25121518,Paramyotonia Congenita,relevance,2
30390395,Paramyotonia Congenita,relevance,2
21267030,Paramyotonia Congenita,relevance,2
18033047,Paramyotonia Congenita,relevance,2
14518660,Paramyotonia Congenita,relevance,2
29111379,Paramyotonia Congenita,relevance,2
27060299,Paramyotonia Congenita,relevance,2
35170402,Paramyotonia Congenita,pubdate_desc,1
35243403,Paramyotonia Congenita,pubdate_desc,1
35212003,Paramyotonia Congenita,pubdate_desc,1
33531161,Paramyotonia Congenita,pubdate_desc,1
35483041,Paramyotonia Congenita,pubdate_desc,1
35575811,Paramyotonia Congenita,pubdate_desc,1
35575095,Paramyotonia Congenita,pubdate_desc,1
35316212,Paramyotonia Congenita,pubdate_desc,1
32491378,Paramyotonia Congenita,pubdate_desc,1
35325614,Paramyotonia Congenita,pubdate_desc,1
35562158,Paramyotonia Congenita,pubdate_desc,2
35361525,Paramyotonia Congenita,pubdate_desc,2
35305881,Paramyotonia Congenita,pubdate_desc,2
35179228,Paramyotonia Congenita,pubdate_desc,2
34981221,Paramyotonia Congenita,pubdate_desc,2
34953819,Paramyotonia Congenita,pubdate_desc,2
34704149,Paramyotonia Congenita,pubdate_desc,2
35483324,Paramyotonia Congenita,pubdate_desc,2
35563214,Paramyotonia Congenita,pubdate_desc,2
35500790,Paramyotonia Congenita,pubdate_desc,2
34076832,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
32809473,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
34827413,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
21827891,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
20420175,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
33029958,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
33531379,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
32655545,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
29679372,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
7863150,Paraneoplastic Cerebellar Degeneration (PCD),relevance,1
24705493,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
33555484,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
33009713,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
27606347,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
33968470,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
33328403,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
33630801,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
34030742,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
33477892,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
34006695,Paraneoplastic Cerebellar Degeneration (PCD),relevance,2
32809473,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
35501715,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
35250990,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
34392286,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
35004023,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
34827413,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
34076832,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
34141810,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
34090521,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
33630801,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,1
33555484,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
34030742,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33328403,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
34006695,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33531379,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33968470,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33583245,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33490355,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33477892,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
33009713,Paraneoplastic Cerebellar Degeneration (PCD),pubdate_desc,2
19377018,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
29717222,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
33197844,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
33927880,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
20714030,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
33556762,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
23088083,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
15708228,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
24377054,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
28781798,Paraneoplastic Limbic Encephalitis (PLE),relevance,1
30909991,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
28413671,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
31062226,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
23318046,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
25628742,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
17495758,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
2839259,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
32110228,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
10869059,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
29901583,Paraneoplastic Limbic Encephalitis (PLE),relevance,2
33556762,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
33927880,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
33229837,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
33197844,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
32566334,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
32110228,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
31783737,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
31510835,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
31330415,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
31464894,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,1
31062226,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
31320869,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
30909991,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
29269707,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
29901583,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
29717222,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
29489644,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
28781798,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
28389060,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
28413671,Paraneoplastic Limbic Encephalitis (PLE),pubdate_desc,2
23316666,Parapsoriasis,relevance,1
17975354,Parapsoriasis,relevance,1
13484983,Parapsoriasis,relevance,1
15412926,Parapsoriasis,relevance,1
33605464,Parapsoriasis,relevance,1
20083298,Parapsoriasis,relevance,1
790725,Parapsoriasis,relevance,1
30981292,Parapsoriasis,relevance,1
2193895,Parapsoriasis,relevance,1
34606647,Parapsoriasis,relevance,1
7026622,Parapsoriasis,relevance,2
30981291,Parapsoriasis,relevance,2
34406669,Parapsoriasis,relevance,2
17010734,Parapsoriasis,relevance,2
14152956,Parapsoriasis,relevance,2
23356135,Parapsoriasis,relevance,2
7379591,Parapsoriasis,relevance,2
14830711,Parapsoriasis,relevance,2
19993649,Parapsoriasis,relevance,2
14222049,Parapsoriasis,relevance,2
35184341,Parapsoriasis,pubdate_desc,1
34197872,Parapsoriasis,pubdate_desc,1
33085287,Parapsoriasis,pubdate_desc,1
35426607,Parapsoriasis,pubdate_desc,1
35015904,Parapsoriasis,pubdate_desc,1
35573524,Parapsoriasis,pubdate_desc,1
