pmid,query,search_type,page
19297575,Moyamoya,relevance,1
29911252,Moyamoya,relevance,1
27960175,Moyamoya,relevance,1
27549666,Moyamoya,relevance,1
28381201,Moyamoya,relevance,1
30424960,Moyamoya,relevance,1
20924291,Moyamoya,relevance,1
27386589,Moyamoya,relevance,1
33567654,Moyamoya,relevance,1
31066331,Moyamoya,relevance,1
33762446,Moyamoya,relevance,2
30347298,Moyamoya,relevance,2
18232331,Moyamoya,relevance,2
34469866,Moyamoya,relevance,2
32643683,Moyamoya,relevance,2
16941427,Moyamoya,relevance,2
12760172,Moyamoya,relevance,2
33539822,Moyamoya,relevance,2
3048657,Moyamoya,relevance,2
32030929,Moyamoya,relevance,2
35500358,Moyamoya,pubdate_desc,1
35413541,Moyamoya,pubdate_desc,1
35512575,Moyamoya,pubdate_desc,1
35502663,Moyamoya,pubdate_desc,1
35430511,Moyamoya,pubdate_desc,1
35427840,Moyamoya,pubdate_desc,1
35367845,Moyamoya,pubdate_desc,1
35311740,Moyamoya,pubdate_desc,1
34780101,Moyamoya,pubdate_desc,1
34716882,Moyamoya,pubdate_desc,1
35605621,Moyamoya,pubdate_desc,2
35588715,Moyamoya,pubdate_desc,2
35595656,Moyamoya,pubdate_desc,2
35578209,Moyamoya,pubdate_desc,2
34744103,Moyamoya,pubdate_desc,2
35569986,Moyamoya,pubdate_desc,2
35567597,Moyamoya,pubdate_desc,2
35545931,Moyamoya,pubdate_desc,2
35543128,Moyamoya,pubdate_desc,2
35333329,Moyamoya,pubdate_desc,2
30695970,Morgellons,relevance,1
19878403,Morgellons,relevance,1
34755952,Morgellons,relevance,1
33435739,Morgellons,relevance,1
33342168,Morgellons,relevance,1
27789971,Morgellons,relevance,1
31750635,Morgellons,relevance,1
28392653,Morgellons,relevance,1
29467580,Morgellons,relevance,1
34917368,Morgellons,relevance,1
29706457,Morgellons,relevance,2
29641827,Morgellons,relevance,2
18318880,Morgellons,relevance,2
31836115,Morgellons,relevance,2
30446193,Morgellons,relevance,2
17367622,Morgellons,relevance,2
17052510,Morgellons,relevance,2
16489838,Morgellons,relevance,2
29853755,Morgellons,relevance,2
17052516,Morgellons,relevance,2
35076344,Morgellons,pubdate_desc,1
34917368,Morgellons,pubdate_desc,1
33435739,Morgellons,pubdate_desc,1
35130384,Morgellons,pubdate_desc,1
34755952,Morgellons,pubdate_desc,1
33986606,Morgellons,pubdate_desc,1
33869705,Morgellons,pubdate_desc,1
33781159,Morgellons,pubdate_desc,1
33342168,Morgellons,pubdate_desc,1
32845296,Morgellons,pubdate_desc,1
32845295,Morgellons,pubdate_desc,2
32436416,Morgellons,pubdate_desc,2
32104041,Morgellons,pubdate_desc,2
31836115,Morgellons,pubdate_desc,2
31295443,Morgellons,pubdate_desc,2
31750635,Morgellons,pubdate_desc,2
31597359,Morgellons,pubdate_desc,2
31108976,Morgellons,pubdate_desc,2
30709965,Morgellons,pubdate_desc,2
29706457,Morgellons,pubdate_desc,2
30556770,Muckle-Wells Syndrome,relevance,1
34036632,Muckle-Wells Syndrome,relevance,1
33161603,Muckle-Wells Syndrome,relevance,1
25686105,Muckle-Wells Syndrome,relevance,1
27767278,Muckle-Wells Syndrome,relevance,1
21596182,Muckle-Wells Syndrome,relevance,1
29773275,Muckle-Wells Syndrome,relevance,1
32246440,Muckle-Wells Syndrome,relevance,1
31077002,Muckle-Wells Syndrome,relevance,1
21967869,Muckle-Wells Syndrome,relevance,1
32546426,Muckle-Wells Syndrome,relevance,2
31057541,Muckle-Wells Syndrome,relevance,2
28631068,Muckle-Wells Syndrome,relevance,2
29742056,Muckle-Wells Syndrome,relevance,2
27707729,Muckle-Wells Syndrome,relevance,2
28583784,Muckle-Wells Syndrome,relevance,2
28686751,Muckle-Wells Syndrome,relevance,2
25614348,Muckle-Wells Syndrome,relevance,2
29382382,Muckle-Wells Syndrome,relevance,2
27435956,Muckle-Wells Syndrome,relevance,2
35574994,Muckle-Wells Syndrome,pubdate_desc,1
35548670,Muckle-Wells Syndrome,pubdate_desc,1
35490273,Muckle-Wells Syndrome,pubdate_desc,1
35396080,Muckle-Wells Syndrome,pubdate_desc,1
35354288,Muckle-Wells Syndrome,pubdate_desc,1
35039323,Muckle-Wells Syndrome,pubdate_desc,1
35314925,Muckle-Wells Syndrome,pubdate_desc,1
35229164,Muckle-Wells Syndrome,pubdate_desc,1
35262642,Muckle-Wells Syndrome,pubdate_desc,1
35281325,Muckle-Wells Syndrome,pubdate_desc,1
35339140,Muckle-Wells Syndrome,pubdate_desc,2
