pmid	query	search_type	page	covid
31892777	Adiposis dolorosa	pubdate_desc	2	False
31140409	Adiposis dolorosa	pubdate_desc	2	False
30422315	Adiposis dolorosa	pubdate_desc	2	False
31090842	Adiposis dolorosa	pubdate_desc	2	False
29939644	Adiposis dolorosa	relevance	1	
31844341	Adiposis dolorosa	relevance	1	False
34511435	Adiposis dolorosa	relevance	1	False
31892777	Adiposis dolorosa	relevance	1	False
25526345	Adiposis dolorosa	relevance	1	False
11898962	Adiposis dolorosa	relevance	1	False
32300502	Adiposis dolorosa	relevance	1	False
23809264	Adiposis dolorosa	relevance	1	False
19974910	Adiposis dolorosa	relevance	1	False
29838555	Adiposis dolorosa	relevance	1	False
29493968	Adiposis dolorosa	relevance	2	
32495450	Adiposis dolorosa	relevance	2	False
29592996	Adiposis dolorosa	relevance	2	False
19974917	Adiposis dolorosa	relevance	2	False
19974159	Adiposis dolorosa	relevance	2	False
6041745	Adiposis dolorosa	relevance	2	False
25672948	Adiposis dolorosa	relevance	2	False
20877043	Adiposis dolorosa	relevance	2	False
8967567	Adiposis dolorosa	relevance	2	False
29431910	Adiposis dolorosa	relevance	2	False
35551911	Adrenergic Neurons 	pubdate_desc	1	False
35486692	Adrenergic Neurons 	pubdate_desc	1	False
35586059	Adrenergic Neurons 	pubdate_desc	1	False
35511098	Adrenergic Neurons 	pubdate_desc	1	False
35398739	Adrenergic Neurons 	pubdate_desc	1	False
30247830	Adrenergic Neurons 	pubdate_desc	1	
35558874	Adrenergic Neurons 	pubdate_desc	1	False
35562894	Adrenergic Neurons 	pubdate_desc	1	False
35108500	Adrenergic Neurons 	pubdate_desc	1	False
35412843	Adrenergic Neurons 	pubdate_desc	1	False
34862271	Adrenergic Neurons 	pubdate_desc	2	False
35263582	Adrenergic Neurons 	pubdate_desc	2	False
35430085	Adrenergic Neurons 	pubdate_desc	2	False
35411674	Adrenergic Neurons 	pubdate_desc	2	False
35397615	Adrenergic Neurons 	pubdate_desc	2	False
33092669	Adrenergic Neurons 	pubdate_desc	2	False
35121636	Adrenergic Neurons 	pubdate_desc	2	False
35331888	Adrenergic Neurons 	pubdate_desc	2	False
35210363	Adrenergic Neurons 	pubdate_desc	2	False
35114035	Adrenergic Neurons 	pubdate_desc	2	False
35263582	Adrenergic Neurons 	relevance	1	False
29496881	Adrenergic Neurons 	relevance	1	False
34081911	Adrenergic Neurons 	relevance	1	False
6128150	Adrenergic Neurons 	relevance	1	False
27046319	Adrenergic Neurons 	relevance	1	False
33525357	Adrenergic Neurons 	relevance	1	False
33855632	Adrenergic Neurons 	relevance	1	False
30342959	Adrenergic Neurons 	relevance	1	False
30054719	Adrenergic Neurons 	relevance	1	False
27769893	Adrenergic Neurons 	relevance	1	False
31923552	Adrenergic Neurons 	relevance	2	False
26212712	Adrenergic Neurons 	relevance	2	False
34948196	Adrenergic Neurons 	relevance	2	False
33971693	Adrenergic Neurons 	relevance	2	False
34344259	Adrenergic Neurons 	relevance	2	False
32202307	Adrenergic Neurons 	relevance	2	False
31883849	Adrenergic Neurons 	relevance	2	False
22160285	Adrenergic Neurons 	relevance	2	False
31315047	Adrenergic Neurons 	relevance	2	False
34546404	Adrenergic Neurons 	relevance	2	False
35163623	Akt/PKB signalling pathway	pubdate_desc	1	False
34848462	Akt/PKB signalling pathway	pubdate_desc	1	False
34772336	Akt/PKB signalling pathway	pubdate_desc	1	False
34711805	Akt/PKB signalling pathway	pubdate_desc	1	False
34407201	Akt/PKB signalling pathway	pubdate_desc	1	False
34157521	Akt/PKB signalling pathway	pubdate_desc	1	False
34174504	Akt/PKB signalling pathway	pubdate_desc	1	False
34161152	Akt/PKB signalling pathway	pubdate_desc	1	False
33960434	Akt/PKB signalling pathway	pubdate_desc	1	False
32160078	Akt/PKB signalling pathway	pubdate_desc	1	False
33273014	Akt/PKB signalling pathway	pubdate_desc	2	False
33785835	Akt/PKB signalling pathway	pubdate_desc	2	False
33741019	Akt/PKB signalling pathway	pubdate_desc	2	False
33690729	Akt/PKB signalling pathway	pubdate_desc	2	False
